COLUMN_NAME	DATA_TYPE	TABLE_NAME	FILE	CATEGORY
floor	varchar	hrm.departments	01_departments.sql	uncategorized
id	uuid	hrm.departments	01_departments.sql	identifiers
is_deleted	boolean	hrm.departments	01_departments.sql	booleans
level	integer	hrm.departments	01_departments.sql	status_workflow
location	varchar	hrm.departments	01_departments.sql	uncategorized
manager_id	uuid	hrm.departments	01_departments.sql	identifiers
name	varchar	hrm.departments	01_departments.sql	text_strings
name_en	varchar	hrm.departments	01_departments.sql	uncategorized
parent_id	uuid	hrm.departments	01_departments.sql	identifiers,relations
phone	varchar	hrm.departments	01_departments.sql	uncategorized
sort_order	integer	hrm.departments	01_departments.sql	uncategorized
status	varchar	hrm.departments	01_departments.sql	status_workflow
updated_at	timestamp	hrm.departments	01_departments.sql	temporal
updated_by	uuid	hrm.departments	01_departments.sql	audit
account_code	varchar	fam.fixed_assets	01_fixed_assets.sql	identifiers
accumulated_account	varchar	fam.fixed_assets	01_fixed_assets.sql	uncategorized
accumulated_depreciation	decimal	fam.fixed_assets	01_fixed_assets.sql	uncategorized
acquisition_cost	decimal	fam.fixed_assets	01_fixed_assets.sql	uncategorized
acquisition_date	date	fam.fixed_assets	01_fixed_assets.sql	temporal
acquisition_method	varchar	fam.fixed_assets	01_fixed_assets.sql	uncategorized
asset_category	varchar	fam.fixed_assets	01_fixed_assets.sql	uncategorized
asset_code	varchar	fam.fixed_assets	01_fixed_assets.sql	identifiers
asset_name	varchar	fam.fixed_assets	01_fixed_assets.sql	text_strings
asset_type	varchar	fam.fixed_assets	01_fixed_assets.sql	status_workflow
book_value	decimal	fam.fixed_assets	01_fixed_assets.sql	amounts_numbers
created_at	timestamp	fam.fixed_assets	01_fixed_assets.sql	temporal
created_by	uuid	fam.fixed_assets	01_fixed_assets.sql	audit
custodian_id	uuid	fam.fixed_assets	01_fixed_assets.sql	identifiers
department_id	uuid	fam.fixed_assets	01_fixed_assets.sql	identifiers
depreciable_cost	decimal	fam.fixed_assets	01_fixed_assets.sql	uncategorized
depreciation_account	varchar	fam.fixed_assets	01_fixed_assets.sql	uncategorized
depreciation_method	varchar	fam.fixed_assets	01_fixed_assets.sql	uncategorized
depreciation_rate	decimal	fam.fixed_assets	01_fixed_assets.sql	amounts_numbers
description	text	fam.fixed_assets	01_fixed_assets.sql	text_strings
disposal_amount	decimal	fam.fixed_assets	01_fixed_assets.sql	amounts_numbers
disposal_date	date	fam.fixed_assets	01_fixed_assets.sql	temporal
disposal_gain_loss	decimal	fam.fixed_assets	01_fixed_assets.sql	uncategorized
disposal_method	varchar	fam.fixed_assets	01_fixed_assets.sql	uncategorized
id	uuid	fam.fixed_assets	01_fixed_assets.sql	identifiers
is_deleted	boolean	fam.fixed_assets	01_fixed_assets.sql	booleans
last_maintenance_date	date	fam.fixed_assets	01_fixed_assets.sql	temporal
location	varchar	fam.fixed_assets	01_fixed_assets.sql	uncategorized
maintenance_cycle	integer	fam.fixed_assets	01_fixed_assets.sql	uncategorized
manufacturer	varchar	fam.fixed_assets	01_fixed_assets.sql	uncategorized
model_number	varchar	fam.fixed_assets	01_fixed_assets.sql	identifiers
next_maintenance_date	date	fam.fixed_assets	01_fixed_assets.sql	temporal
notes	text	fam.fixed_assets	01_fixed_assets.sql	uncategorized
salvage_value	decimal	fam.fixed_assets	01_fixed_assets.sql	amounts_numbers
serial_number	varchar	fam.fixed_assets	01_fixed_assets.sql	identifiers
status	varchar	fam.fixed_assets	01_fixed_assets.sql	status_workflow
supplier_id	uuid	fam.fixed_assets	01_fixed_assets.sql	identifiers
supplier_name	varchar	fam.fixed_assets	01_fixed_assets.sql	text_strings
updated_at	timestamp	fam.fixed_assets	01_fixed_assets.sql	temporal
updated_by	uuid	fam.fixed_assets	01_fixed_assets.sql	audit
useful_life_months	integer	fam.fixed_assets	01_fixed_assets.sql	uncategorized
useful_life_years	integer	fam.fixed_assets	01_fixed_assets.sql	uncategorized
warranty_end_date	date	fam.fixed_assets	01_fixed_assets.sql	temporal
warranty_start_date	date	fam.fixed_assets	01_fixed_assets.sql	temporal
ON	other	ivm.inventory_balances	01_inventory_balances.sql	uncategorized
ON	other	ivm.inventory_balances	01_inventory_balances.sql	uncategorized
ON	other	ivm.inventory_balances	01_inventory_balances.sql	uncategorized
REFERENCES	other	ivm.inventory_balances	01_inventory_balances.sql	uncategorized
REFERENCES	other	ivm.inventory_balances	01_inventory_balances.sql	uncategorized
REFERENCES	other	ivm.inventory_balances	01_inventory_balances.sql	uncategorized
available_qty	integer	ivm.inventory_balances	01_inventory_balances.sql	amounts_numbers
avg_cost	decimal	ivm.inventory_balances	01_inventory_balances.sql	uncategorized
created_at	timestamp	ivm.inventory_balances	01_inventory_balances.sql	temporal
created_by	uuid	ivm.inventory_balances	01_inventory_balances.sql	audit
id	uuid	ivm.inventory_balances	01_inventory_balances.sql	identifiers
last_movement_date	timestamp	ivm.inventory_balances	01_inventory_balances.sql	temporal
location_id	uuid	ivm.inventory_balances	01_inventory_balances.sql	identifiers
lot_number	varchar	ivm.inventory_balances	01_inventory_balances.sql	identifiers
on_hand_qty	integer	ivm.inventory_balances	01_inventory_balances.sql	amounts_numbers
product_id	uuid	ivm.inventory_balances	01_inventory_balances.sql	identifiers
reserved_qty	integer	ivm.inventory_balances	01_inventory_balances.sql	amounts_numbers
serial_number	varchar	ivm.inventory_balances	01_inventory_balances.sql	identifiers
updated_at	timestamp	ivm.inventory_balances	01_inventory_balances.sql	temporal
updated_by	uuid	ivm.inventory_balances	01_inventory_balances.sql	audit
warehouse_id	uuid	ivm.inventory_balances	01_inventory_balances.sql	identifiers
business_area	varchar	bim.kpi_definitions	01_kpi_definitions.sql	uncategorized
calculation_formula	text	bim.kpi_definitions	01_kpi_definitions.sql	uncategorized
category	varchar	bim.kpi_definitions	01_kpi_definitions.sql	uncategorized
chart_type	varchar	bim.kpi_definitions	01_kpi_definitions.sql	status_workflow
color_code	varchar	bim.kpi_definitions	01_kpi_definitions.sql	identifiers
created_at	timestamp	bim.kpi_definitions	01_kpi_definitions.sql	temporal
created_by	uuid	bim.kpi_definitions	01_kpi_definitions.sql	audit
data_source	text	bim.kpi_definitions	01_kpi_definitions.sql	uncategorized
default_target_value	decimal	bim.kpi_definitions	01_kpi_definitions.sql	amounts_numbers
description	text	bim.kpi_definitions	01_kpi_definitions.sql	text_strings
display_order	integer	bim.kpi_definitions	01_kpi_definitions.sql	uncategorized
icon_name	varchar	bim.kpi_definitions	01_kpi_definitions.sql	text_strings
id	uuid	bim.kpi_definitions	01_kpi_definitions.sql	identifiers
is_active	boolean	bim.kpi_definitions	01_kpi_definitions.sql	booleans
is_deleted	boolean	bim.kpi_definitions	01_kpi_definitions.sql	booleans
kpi_code	varchar	bim.kpi_definitions	01_kpi_definitions.sql	identifiers
kpi_name	varchar	bim.kpi_definitions	01_kpi_definitions.sql	text_strings
kpi_name_en	varchar	bim.kpi_definitions	01_kpi_definitions.sql	uncategorized
measurement_frequency	varchar	bim.kpi_definitions	01_kpi_definitions.sql	uncategorized
measurement_unit	varchar	bim.kpi_definitions	01_kpi_definitions.sql	uncategorized
notes	text	bim.kpi_definitions	01_kpi_definitions.sql	uncategorized
owner_department_id	uuid	bim.kpi_definitions	01_kpi_definitions.sql	identifiers,relations
owner_user_id	uuid	bim.kpi_definitions	01_kpi_definitions.sql	identifiers,relations
sub_category	varchar	bim.kpi_definitions	01_kpi_definitions.sql	uncategorized
target_type	varchar	bim.kpi_definitions	01_kpi_definitions.sql	status_workflow
threshold_critical	decimal	bim.kpi_definitions	01_kpi_definitions.sql	uncategorized
threshold_warning	decimal	bim.kpi_definitions	01_kpi_definitions.sql	uncategorized
updated_at	timestamp	bim.kpi_definitions	01_kpi_definitions.sql	temporal
updated_by	uuid	bim.kpi_definitions	01_kpi_definitions.sql	audit
address1	varchar	pim.makers	01_makers.sql	uncategorized
address2	varchar	pim.makers	01_makers.sql	uncategorized
code	varchar	pim.makers	01_makers.sql	identifiers
country_code	varchar	pim.makers	01_makers.sql	identifiers
created_at	timestamp	pim.makers	01_makers.sql	temporal
created_by	uuid	pim.makers	01_makers.sql	audit
description	text	pim.makers	01_makers.sql	text_strings
display_order	integer	pim.makers	01_makers.sql	uncategorized
email	varchar	pim.makers	01_makers.sql	uncategorized
id	uuid	pim.makers	01_makers.sql	identifiers
is_deleted	boolean	pim.makers	01_makers.sql	booleans
logo_url	varchar	pim.makers	01_makers.sql	text_strings
name	varchar	pim.makers	01_makers.sql	text_strings
name_en	varchar	pim.makers	01_makers.sql	uncategorized
notes	text	pim.makers	01_makers.sql	uncategorized
phone	varchar	pim.makers	01_makers.sql	uncategorized
postcode	varchar	pim.makers	01_makers.sql	uncategorized
status	varchar	pim.makers	01_makers.sql	status_workflow
updated_at	timestamp	pim.makers	01_makers.sql	temporal
updated_by	uuid	pim.makers	01_makers.sql	audit
website	varchar	pim.makers	01_makers.sql	uncategorized
address1	varchar	crm.partners	01_partners.sql	uncategorized
address2	varchar	crm.partners	01_partners.sql	uncategorized
annual_revenue	decimal	crm.partners	01_partners.sql	uncategorized
business_item	varchar	crm.partners	01_partners.sql	uncategorized
business_kind	varchar	crm.partners	01_partners.sql	uncategorized
business_name	varchar	crm.partners	01_partners.sql	text_strings
business_no	varchar	crm.partners	01_partners.sql	identifiers
business_type	other	crm.partners	01_partners.sql	status_workflow
ceo_name	varchar	crm.partners	01_partners.sql	text_strings
code	varchar	crm.partners	01_partners.sql	identifiers
created_at	timestamp	crm.partners	01_partners.sql	temporal
created_by	uuid	crm.partners	01_partners.sql	audit
credit_limit	decimal	crm.partners	01_partners.sql	uncategorized
currency_code	varchar	crm.partners	01_partners.sql	identifiers
email	varchar	crm.partners	01_partners.sql	uncategorized
employee_count	integer	crm.partners	01_partners.sql	amounts_numbers
established_date	date	crm.partners	01_partners.sql	temporal
fax	varchar	crm.partners	01_partners.sql	uncategorized
id	uuid	crm.partners	01_partners.sql	identifiers
industry	varchar	crm.partners	01_partners.sql	uncategorized
is_deleted	boolean	crm.partners	01_partners.sql	booleans
name	varchar	crm.partners	01_partners.sql	text_strings
name_en	varchar	crm.partners	01_partners.sql	uncategorized
partner_type	varchar	crm.partners	01_partners.sql	status_workflow
payment_terms	varchar	crm.partners	01_partners.sql	uncategorized
phone	varchar	crm.partners	01_partners.sql	uncategorized
postcode	varchar	crm.partners	01_partners.sql	uncategorized
status	varchar	crm.partners	01_partners.sql	status_workflow
tax_no	varchar	crm.partners	01_partners.sql	identifiers
updated_at	timestamp	crm.partners	01_partners.sql	temporal
updated_by	uuid	crm.partners	01_partners.sql	audit
website	varchar	crm.partners	01_partners.sql	uncategorized
ON	other	psm.purchase_requisitions	01_purchase_requisitions.sql	uncategorized
ON	other	psm.purchase_requisitions	01_purchase_requisitions.sql	uncategorized
ON	other	psm.purchase_requisitions	01_purchase_requisitions.sql	uncategorized
REFERENCES	other	psm.purchase_requisitions	01_purchase_requisitions.sql	uncategorized
REFERENCES	other	psm.purchase_requisitions	01_purchase_requisitions.sql	uncategorized
REFERENCES	other	psm.purchase_requisitions	01_purchase_requisitions.sql	uncategorized
approved_at	timestamp	psm.purchase_requisitions	01_purchase_requisitions.sql	temporal
approved_by	uuid	psm.purchase_requisitions	01_purchase_requisitions.sql	audit
created_at	timestamp	psm.purchase_requisitions	01_purchase_requisitions.sql	temporal
created_by	uuid	psm.purchase_requisitions	01_purchase_requisitions.sql	audit
currency	varchar	psm.purchase_requisitions	01_purchase_requisitions.sql	uncategorized
department_id	uuid	psm.purchase_requisitions	01_purchase_requisitions.sql	identifiers
doc_date	date	psm.purchase_requisitions	01_purchase_requisitions.sql	temporal
id	uuid	psm.purchase_requisitions	01_purchase_requisitions.sql	identifiers
is_deleted	boolean	psm.purchase_requisitions	01_purchase_requisitions.sql	booleans
pr_code	varchar	psm.purchase_requisitions	01_purchase_requisitions.sql	identifiers
purpose	text	psm.purchase_requisitions	01_purchase_requisitions.sql	uncategorized
requester_id	uuid	psm.purchase_requisitions	01_purchase_requisitions.sql	identifiers
required_date	date	psm.purchase_requisitions	01_purchase_requisitions.sql	temporal
status	varchar	psm.purchase_requisitions	01_purchase_requisitions.sql	status_workflow
total_amount	decimal	psm.purchase_requisitions	01_purchase_requisitions.sql	amounts_numbers
updated_at	timestamp	psm.purchase_requisitions	01_purchase_requisitions.sql	temporal
updated_by	uuid	psm.purchase_requisitions	01_purchase_requisitions.sql	audit
created_at	timestamp	srm.quotations	01_quotations.sql	temporal
created_by	uuid	srm.quotations	01_quotations.sql	audit
currency	varchar	srm.quotations	01_quotations.sql	uncategorized
customer_id	uuid	srm.quotations	01_quotations.sql	identifiers
doc_date	date	srm.quotations	01_quotations.sql	temporal
id	uuid	srm.quotations	01_quotations.sql	identifiers
is_deleted	boolean	srm.quotations	01_quotations.sql	booleans
quote_code	varchar	srm.quotations	01_quotations.sql	identifiers
sales_person_id	uuid	srm.quotations	01_quotations.sql	identifiers
status	varchar	srm.quotations	01_quotations.sql	status_workflow
total_amount	decimal	srm.quotations	01_quotations.sql	amounts_numbers
updated_at	timestamp	srm.quotations	01_quotations.sql	temporal
updated_by	uuid	srm.quotations	01_quotations.sql	audit
valid_until	date	srm.quotations	01_quotations.sql	uncategorized
actual_cost	decimal	asm.service_requests	01_service_requests.sql	uncategorized
assigned_technician_id	uuid	asm.service_requests	01_service_requests.sql	identifiers
completed_at	timestamp	asm.service_requests	01_service_requests.sql	temporal
created_at	timestamp	asm.service_requests	01_service_requests.sql	temporal
created_by	uuid	asm.service_requests	01_service_requests.sql	audit
currency	varchar	asm.service_requests	01_service_requests.sql	uncategorized
customer_id	uuid	asm.service_requests	01_service_requests.sql	identifiers
customer_notes	text	asm.service_requests	01_service_requests.sql	uncategorized
estimated_cost	decimal	asm.service_requests	01_service_requests.sql	uncategorized
expected_completion_date	date	asm.service_requests	01_service_requests.sql	temporal
id	uuid	asm.service_requests	01_service_requests.sql	identifiers
is_deleted	boolean	asm.service_requests	01_service_requests.sql	booleans
is_warranty	boolean	asm.service_requests	01_service_requests.sql	booleans
issue_category	varchar	asm.service_requests	01_service_requests.sql	uncategorized
issue_description	text	asm.service_requests	01_service_requests.sql	text_strings
priority	varchar	asm.service_requests	01_service_requests.sql	status_workflow
product_id	uuid	asm.service_requests	01_service_requests.sql	identifiers
purchase_date	date	asm.service_requests	01_service_requests.sql	temporal
scheduled_date	date	asm.service_requests	01_service_requests.sql	temporal
serial_number	varchar	asm.service_requests	01_service_requests.sql	identifiers
service_type	varchar	asm.service_requests	01_service_requests.sql	status_workflow
sr_code	varchar	asm.service_requests	01_service_requests.sql	identifiers
status	varchar	asm.service_requests	01_service_requests.sql	status_workflow
technician_notes	text	asm.service_requests	01_service_requests.sql	uncategorized
updated_at	timestamp	asm.service_requests	01_service_requests.sql	temporal
updated_by	uuid	asm.service_requests	01_service_requests.sql	audit
warranty_end_date	date	asm.service_requests	01_service_requests.sql	temporal
created_at	timestamp	sys.users	01_users.sql	temporal
created_by	uuid	sys.users	01_users.sql	audit
department_id	uuid	sys.users	01_users.sql	identifiers
email	varchar	sys.users	01_users.sql	uncategorized
first_name	varchar	sys.users	01_users.sql	text_strings
id	uuid	sys.users	01_users.sql	identifiers
is_active	boolean	sys.users	01_users.sql	booleans
is_deleted	boolean	sys.users	01_users.sql	booleans
last_login_at	timestamp	sys.users	01_users.sql	temporal
last_name	varchar	sys.users	01_users.sql	text_strings
password_hash	varchar	sys.users	01_users.sql	uncategorized
phone	varchar	sys.users	01_users.sql	uncategorized
position	varchar	sys.users	01_users.sql	uncategorized
role_id	uuid	sys.users	01_users.sql	identifiers
updated_at	timestamp	sys.users	01_users.sql	temporal
updated_by	uuid	sys.users	01_users.sql	audit
user_code	varchar	sys.users	01_users.sql	identifiers
username	varchar	sys.users	01_users.sql	uncategorized
address1	varchar	wms.warehouses	01_warehouses.sql	uncategorized
address2	varchar	wms.warehouses	01_warehouses.sql	uncategorized
building_name	varchar	wms.warehouses	01_warehouses.sql	text_strings
capacity_sqm	decimal	wms.warehouses	01_warehouses.sql	uncategorized
capacity_volume	decimal	wms.warehouses	01_warehouses.sql	uncategorized
city	varchar	wms.warehouses	01_warehouses.sql	uncategorized
code	varchar	wms.warehouses	01_warehouses.sql	identifiers
contract_close_date	date	wms.warehouses	01_warehouses.sql	temporal
contract_start_date	date	wms.warehouses	01_warehouses.sql	temporal
country_code	varchar	wms.warehouses	01_warehouses.sql	identifiers
created_at	timestamp	wms.warehouses	01_warehouses.sql	temporal
created_by	uuid	wms.warehouses	01_warehouses.sql	audit
currency	varchar	wms.warehouses	01_warehouses.sql	uncategorized
description	text	wms.warehouses	01_warehouses.sql	text_strings
email	varchar	wms.warehouses	01_warehouses.sql	uncategorized
external_provider	varchar	wms.warehouses	01_warehouses.sql	uncategorized
fax	varchar	wms.warehouses	01_warehouses.sql	uncategorized
has_cold_storage	boolean	wms.warehouses	01_warehouses.sql	booleans
has_crane	boolean	wms.warehouses	01_warehouses.sql	booleans
has_dock	boolean	wms.warehouses	01_warehouses.sql	booleans
has_freezer	boolean	wms.warehouses	01_warehouses.sql	booleans
id	uuid	wms.warehouses	01_warehouses.sql	identifiers
is_deleted	boolean	wms.warehouses	01_warehouses.sql	booleans
is_external	boolean	wms.warehouses	01_warehouses.sql	booleans
is_primary	boolean	wms.warehouses	01_warehouses.sql	booleans
manager_id	uuid	wms.warehouses	01_warehouses.sql	identifiers
max_weight	decimal	wms.warehouses	01_warehouses.sql	uncategorized
monthly_rent	decimal	wms.warehouses	01_warehouses.sql	uncategorized
name	varchar	wms.warehouses	01_warehouses.sql	text_strings
notes	text	wms.warehouses	01_warehouses.sql	uncategorized
operating_hours	varchar	wms.warehouses	01_warehouses.sql	uncategorized
phone	varchar	wms.warehouses	01_warehouses.sql	uncategorized
postcode	varchar	wms.warehouses	01_warehouses.sql	uncategorized
state_province	varchar	wms.warehouses	01_warehouses.sql	uncategorized
status	varchar	wms.warehouses	01_warehouses.sql	status_workflow
storage_cost	decimal	wms.warehouses	01_warehouses.sql	uncategorized
type	varchar	wms.warehouses	01_warehouses.sql	status_workflow
updated_at	timestamp	wms.warehouses	01_warehouses.sql	temporal
updated_by	uuid	wms.warehouses	01_warehouses.sql	audit
ON	other	apm.approval_line_items	02_approval_line_items.sql	uncategorized
REFERENCES	other	apm.approval_line_items	02_approval_line_items.sql	uncategorized
approver_id	uuid	apm.approval_line_items	02_approval_line_items.sql	identifiers
approver_type	varchar	apm.approval_line_items	02_approval_line_items.sql	status_workflow
created_at	timestamp	apm.approval_line_items	02_approval_line_items.sql	temporal
created_by	uuid	apm.approval_line_items	02_approval_line_items.sql	audit
id	uuid	apm.approval_line_items	02_approval_line_items.sql	identifiers
is_required	boolean	apm.approval_line_items	02_approval_line_items.sql	booleans
line_id	uuid	apm.approval_line_items	02_approval_line_items.sql	identifiers
step_no	integer	apm.approval_line_items	02_approval_line_items.sql	identifiers
updated_at	timestamp	apm.approval_line_items	02_approval_line_items.sql	temporal
updated_by	uuid	apm.approval_line_items	02_approval_line_items.sql	audit
accumulated_depreciation	decimal	fam.asset_depreciation	02_asset_depreciation.sql	uncategorized
asset_code	varchar	fam.asset_depreciation	02_asset_depreciation.sql	identifiers
asset_id	uuid	fam.asset_depreciation	02_asset_depreciation.sql	identifiers
asset_name	varchar	fam.asset_depreciation	02_asset_depreciation.sql	text_strings
book_value	decimal	fam.asset_depreciation	02_asset_depreciation.sql	amounts_numbers
business_document_id	uuid	fam.asset_depreciation	02_asset_depreciation.sql	identifiers
created_at	timestamp	fam.asset_depreciation	02_asset_depreciation.sql	temporal
created_by	uuid	fam.asset_depreciation	02_asset_depreciation.sql	audit
depreciation_amount	decimal	fam.asset_depreciation	02_asset_depreciation.sql	amounts_numbers
depreciation_date	date	fam.asset_depreciation	02_asset_depreciation.sql	temporal
depreciation_method	varchar	fam.asset_depreciation	02_asset_depreciation.sql	uncategorized
depreciation_month	integer	fam.asset_depreciation	02_asset_depreciation.sql	uncategorized
depreciation_year	integer	fam.asset_depreciation	02_asset_depreciation.sql	uncategorized
id	uuid	fam.asset_depreciation	02_asset_depreciation.sql	identifiers
is_deleted	boolean	fam.asset_depreciation	02_asset_depreciation.sql	booleans
is_posted	boolean	fam.asset_depreciation	02_asset_depreciation.sql	booleans
journal_entry_id	uuid	fam.asset_depreciation	02_asset_depreciation.sql	identifiers
notes	text	fam.asset_depreciation	02_asset_depreciation.sql	uncategorized
posted_at	timestamp	fam.asset_depreciation	02_asset_depreciation.sql	temporal
updated_at	timestamp	fam.asset_depreciation	02_asset_depreciation.sql	temporal
updated_by	uuid	fam.asset_depreciation	02_asset_depreciation.sql	audit
category	varchar	pim.brands	02_brands.sql	uncategorized
code	varchar	pim.brands	02_brands.sql	identifiers
color	varchar	pim.brands	02_brands.sql	uncategorized
country_code	varchar	pim.brands	02_brands.sql	identifiers
created_at	timestamp	pim.brands	02_brands.sql	temporal
created_by	uuid	pim.brands	02_brands.sql	audit
description	text	pim.brands	02_brands.sql	text_strings
display_order	integer	pim.brands	02_brands.sql	uncategorized
id	uuid	pim.brands	02_brands.sql	identifiers
is_deleted	boolean	pim.brands	02_brands.sql	booleans
is_premium	boolean	pim.brands	02_brands.sql	booleans
is_private	boolean	pim.brands	02_brands.sql	booleans
logo_url	varchar	pim.brands	02_brands.sql	text_strings
maker_id	uuid	pim.brands	02_brands.sql	identifiers
market_segment	varchar	pim.brands	02_brands.sql	uncategorized
name	varchar	pim.brands	02_brands.sql	text_strings
name_en	varchar	pim.brands	02_brands.sql	uncategorized
notes	text	pim.brands	02_brands.sql	uncategorized
price_range	varchar	pim.brands	02_brands.sql	uncategorized
status	varchar	pim.brands	02_brands.sql	status_workflow
tagline	varchar	pim.brands	02_brands.sql	uncategorized
target_market	varchar	pim.brands	02_brands.sql	uncategorized
type	varchar	pim.brands	02_brands.sql	status_workflow
updated_at	timestamp	pim.brands	02_brands.sql	temporal
updated_by	uuid	pim.brands	02_brands.sql	audit
website	varchar	pim.brands	02_brands.sql	uncategorized
attribute1	varchar	adm.codes	02_codes.sql	uncategorized
attribute2	varchar	adm.codes	02_codes.sql	uncategorized
attribute3	varchar	adm.codes	02_codes.sql	uncategorized
code	varchar	adm.codes	02_codes.sql	identifiers
created_at	timestamp	adm.codes	02_codes.sql	temporal
created_by	uuid	adm.codes	02_codes.sql	audit
description	text	adm.codes	02_codes.sql	text_strings
group_id	uuid	adm.codes	02_codes.sql	identifiers
id	uuid	adm.codes	02_codes.sql	identifiers
is_active	boolean	adm.codes	02_codes.sql	booleans
is_deleted	boolean	adm.codes	02_codes.sql	booleans
is_system	boolean	adm.codes	02_codes.sql	booleans
name	varchar	adm.codes	02_codes.sql	text_strings
name_en	varchar	adm.codes	02_codes.sql	uncategorized
sort_order	integer	adm.codes	02_codes.sql	uncategorized
updated_at	timestamp	adm.codes	02_codes.sql	temporal
updated_by	uuid	adm.codes	02_codes.sql	audit
additional_value1	varchar	com.codes	02_codes.sql	uncategorized
additional_value2	varchar	com.codes	02_codes.sql	uncategorized
additional_value3	varchar	com.codes	02_codes.sql	uncategorized
